,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
0,1020.0,0.25,25,100.0,800.0,50.0,10,1.372,1564.369117458862,9212.445936491918
1,1020.0,0.25,25,100.0,800.0,75.0,10,1.372,1400.863755015599,8592.897091226594
2,1020.0,0.25,25,100.0,800.0,100.0,10,1.372,1350.0070107550434,7739.972799233259
3,1020.0,0.25,25,100.0,800.0,125.0,10,1.372,1253.396415380532,7739.972799233259
4,1020.0,0.25,25,100.0,800.0,150.0,10,1.372,1207.5281412974266,6731.439262573933
5,1020.0,0.25,25,100.0,800.0,175.0,10,1.372,1207.5281412974266,6276.904517930638
6,1020.0,0.25,25,100.0,800.0,200.0,10,1.372,1163.2114820866102,6276.904517930638
7,1020.0,0.25,25,100.0,900.0,50.0,10,1.568,1507.9813747655699,8592.897091226594
8,1020.0,0.25,25,100.0,900.0,75.0,10,1.568,1350.0070107550434,8298.750925039123
9,1020.0,0.25,25,100.0,900.0,100.0,10,1.568,1253.396415380532,7218.359535112957
10,1020.0,0.25,25,100.0,900.0,125.0,10,1.568,1207.5281412974266,6731.439262573933
11,1020.0,0.25,25,100.0,900.0,150.0,10,1.568,1163.2114820866102,6276.904517930638
12,1020.0,0.25,25,100.0,900.0,175.0,10,1.568,1120.3939502987503,5852.601309089836
13,1020.0,0.25,25,100.0,900.0,200.0,10,1.568,1120.3939502987503,5456.518908009836
14,1020.0,0.25,25,100.0,1000.0,75.0,10,1.7640000000000002,1300.8706294758354,7474.679037956332
15,1020.0,0.25,25,100.0,1000.0,125.0,10,1.7640000000000002,1163.2114820866102,6276.904517930638
16,1020.0,0.25,25,100.0,1000.0,175.0,10,1.7640000000000002,1120.3939502987503,5456.518908009836
17,1020.0,0.25,25,100.0,1100.0,50.0,10,1.9600000000000002,1453.5010956062054,8014.555025680014
18,1020.0,0.25,25,100.0,1100.0,75.0,10,1.9600000000000002,1300.8706294758354,7218.359535112957
19,1020.0,0.25,25,100.0,1100.0,100.0,10,1.9600000000000002,1207.5281412974266,6276.904517930638
20,1020.0,0.25,25,100.0,1100.0,125.0,10,1.9600000000000002,1163.2114820866102,6061.102884923689
21,1020.0,0.25,25,100.0,1100.0,150.0,10,1.9600000000000002,1120.3939502987503,5456.518908009836
22,1020.0,0.25,25,100.0,1100.0,175.0,10,1.9600000000000002,1079.0248340103788,4911.237766589093
23,1020.0,0.25,25,100.0,1100.0,200.0,10,1.9600000000000002,1079.0248340103788,4741.633399215751
24,1020.0,0.25,25,100.0,1200.0,50.0,10,2.156,1453.5010956062054,8014.555025680014
25,1020.0,0.25,25,100.0,1200.0,75.0,10,2.156,1300.8706294758354,6970.710712835172
26,1020.0,0.25,25,100.0,1200.0,100.0,10,2.156,1207.5281412974266,6061.102884923689
27,1020.0,0.25,25,100.0,1200.0,125.0,10,2.156,1120.3939502987503,5651.152846817076
28,1020.0,0.25,25,100.0,1200.0,150.0,10,2.156,1079.0248340103788,4911.237766589093
29,1020.0,0.25,25,100.0,1200.0,175.0,10,2.156,1079.0248340103788,4577.766345139718
30,1020.0,0.25,25,100.0,1200.0,200.0,10,2.156,1039.0551367620653,4419.4425246661085
31,1020.0,0.25,25,100.0,1300.0,50.0,10,2.3520000000000003,1453.5010956062054,7474.679037956332
32,1020.0,0.25,25,100.0,1300.0,75.0,10,2.3520000000000003,1300.8706294758354,6500.2617977124255
33,1020.0,0.25,25,100.0,1300.0,100.0,10,2.3520000000000003,1207.5281412974266,5651.152846817076
34,1020.0,0.25,25,100.0,1300.0,125.0,10,2.3520000000000003,1120.3939502987503,5456.518908009836
35,1020.0,0.25,25,100.0,1300.0,150.0,10,2.3520000000000003,1079.0248340103788,4741.633399215751
36,1020.0,0.25,25,100.0,1300.0,175.0,10,2.3520000000000003,1039.0551367620653,4266.474423355583
37,1020.0,0.25,25,100.0,1300.0,200.0,10,2.3520000000000003,1039.0551367620653,3975.886821734759
38,1020.0,0.25,25,100.0,1400.0,75.0,10,2.548,1300.8706294758354,6061.102884923689
39,1020.0,0.25,25,100.0,1400.0,125.0,10,2.548,1120.3939502987503,4911.237766589093
40,1020.0,0.25,25,100.0,1400.0,175.0,10,2.548,1039.0551367620653,3975.886821734759
41,1020.0,0.25,25,100.0,1500.0,50.0,10,2.744,1453.5010956062054,6970.710712835172
42,1020.0,0.25,25,100.0,1500.0,75.0,10,2.744,1253.396415380532,5651.152846817076
43,1020.0,0.25,25,100.0,1500.0,100.0,10,2.744,1163.2114820866102,4911.237766589093
44,1020.0,0.25,25,100.0,1500.0,125.0,10,2.744,1120.3939502987503,4577.766345139718
45,1020.0,0.25,25,100.0,1500.0,150.0,10,2.744,1039.0551367620653,3975.886821734759
46,1020.0,0.25,25,100.0,1500.0,175.0,10,2.744,1039.0551367620653,3451.407913135139
47,1020.0,0.25,25,100.0,1500.0,200.0,10,2.744,1000.4375195283392,3215.03115606588
48,1020.0,0.25,25,100.0,1600.0,50.0,10,2.9400000000000004,1400.863755015599,6500.2617977124255
49,1020.0,0.25,25,100.0,1600.0,75.0,10,2.9400000000000004,1253.396415380532,5268.468973509327
50,1020.0,0.25,25,100.0,1600.0,100.0,10,2.9400000000000004,1163.2114820866102,4577.766345139718
51,1020.0,0.25,25,100.0,1600.0,125.0,10,2.9400000000000004,1079.0248340103788,4118.680869937337
52,1020.0,0.25,25,100.0,1600.0,150.0,10,2.9400000000000004,1039.0551367620653,3575.8389057898266
