,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad,std_dev_to_perm_res_ratio,vertical_correlation,lateral_correlation,random_seed
0,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8592.897091226594,0.37,5,140,1599
1,1020,1,25,100,1500,100,100,2.744,2994.376040693835,8298.750925039123,0.22,3,60,5155
2,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.12,4,231,7576
3,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.08,10,174,10256
4,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.27,8,40,7837
5,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8592.897091226594,0.49,5,44,6882
6,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.31,2,88,9562
7,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.12,7,18,2468
8,1020,1,25,100,1500,100,100,2.744,2504.828290996109,8897.34190298462,0.49,7,117,7506
9,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.12,7,54,3966
10,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.28,3,200,10333
11,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.24,4,63,8294
12,1020,1,25,100,1500,100,100,2.744,2331.4094399480146,8592.897091226594,0.4,3,252,8390
13,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.26,10,74,8709
14,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8592.897091226594,0.32,8,93,10399
15,1020,1,25,100,1500,100,100,2.744,2596.117637920465,8592.897091226594,0.42,3,66,4402
16,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.21,2,96,3367
17,1020,1,25,100,1500,100,100,2.744,3215.03115606588,8298.750925039123,0.49,7,182,11974
18,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.24,6,301,6954
19,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.24,6,294,7053
20,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.18,9,68,9454
21,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8592.897091226594,0.49,10,98,4775
22,1020,1,25,100,1500,100,100,2.744,2596.117637920465,8592.897091226594,0.41,7,320,9636
23,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.27,7,282,7618
24,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8592.897091226594,0.47,4,144,11279
25,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8298.750925039123,0.31,5,42,9479
26,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.12,8,62,6239
27,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.25,9,44,6691
28,1020,1,25,100,1500,100,100,2.744,2994.376040693835,8298.750925039123,0.22,9,296,10128
29,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.05,7,380,8372
30,1020,1,25,100,1500,100,100,2.744,2331.4094399480146,8014.555025680014,0.35,9,350,7060
31,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8592.897091226594,0.27,7,235,6295
32,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.14,5,35,6620
33,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.13,3,32,8974
34,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.15,3,256,894
35,1020,1,25,100,1500,100,100,2.744,2596.117637920465,8592.897091226594,0.4,7,56,7141
36,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8298.750925039123,0.14,8,266,10938
37,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.08,5,414,5600
38,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.28,8,108,4262
39,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.19,10,240,9966
40,1020,1,25,100,1500,100,100,2.744,2596.117637920465,8897.34190298462,0.47,10,336,11947
41,1020,1,25,100,1500,100,100,2.744,2994.376040693835,8298.750925039123,0.2,5,190,11956
42,1020,1,25,100,1500,100,100,2.744,2504.828290996109,8592.897091226594,0.38,3,60,7775
43,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.2,9,52,5891
44,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8592.897091226594,0.45,2,175,9820
45,1020,1,25,100,1500,100,100,2.744,2504.828290996109,8897.34190298462,0.46,8,315,4026
46,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8592.897091226594,0.47,2,15,125
47,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.16,8,192,3275
48,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.25,3,120,8042
49,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8592.897091226594,0.41,4,48,5879
50,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.21,4,48,11714
51,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.16,10,246,5308
52,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.02,10,38,1261
53,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8298.750925039123,0.25,5,144,1457
54,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8592.897091226594,0.46,5,50,10445
55,1020,1,25,100,1500,100,100,2.744,2690.6032074593363,8592.897091226594,0.42,7,76,11304
56,1020,1,25,100,1500,100,100,2.744,2596.117637920465,8897.34190298462,0.49,3,52,10623
57,1020,1,25,100,1500,100,100,2.744,2889.614557023334,8298.750925039123,0.15,8,185,11266
58,1020,1,25,100,1500,100,100,2.744,3102.8054334306075,8298.750925039123,0.31,7,258,9013
59,1020,1,25,100,1500,100,100,2.744,2788.396905758903,8592.897091226594,0.41,2,42,6916
