,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
0,1040.0,0.25,25,100.0,1500.0,50.0,5.0,5.488,1253.396415380532,5268.468973509327
1,1040.0,0.25,25,100.0,1500.0,50.0,10.0,5.488,1453.5010956062054,5456.518908009836
2,1040.0,0.25,25,100.0,1500.0,50.0,15.0,5.488,1507.9813747655699,5456.518908009836
3,1040.0,0.25,25,100.0,1500.0,50.0,20.0,5.488,1622.7311077993318,5268.468973509327
4,1040.0,0.25,25,100.0,1500.0,50.0,25.0,5.488,1683.136468145602,4911.237766589093
5,1040.0,0.25,25,100.0,1500.0,50.0,30.0,5.488,1745.656740968316,4577.766345139718
6,1040.0,0.25,25,100.0,1500.0,50.0,35.0,5.488,1745.656740968316,4266.474423355583
7,1040.0,0.25,25,100.0,1500.0,50.0,40.0,5.488,1810.3659735830986,3975.886821734759
8,1040.0,0.25,25,100.0,1500.0,50.0,45.0,5.488,1810.3659735830986,3575.8389057898266
9,1040.0,0.25,25,100.0,1500.0,75.0,5.0,5.488,1079.0248340103788,4419.4425246661085
10,1040.0,0.25,25,100.0,1500.0,75.0,10.0,5.488,1253.396415380532,4419.4425246661085
11,1040.0,0.25,25,100.0,1500.0,75.0,15.0,5.488,1350.0070107550434,4118.680869937337
12,1040.0,0.25,25,100.0,1500.0,75.0,20.0,5.488,1400.863755015599,3575.8389057898266
13,1040.0,0.25,25,100.0,1500.0,75.0,25.0,5.488,1507.9813747655699,3215.03115606588
14,1040.0,0.25,25,100.0,1500.0,75.0,30.0,5.488,1507.9813747655699,2690.6032074593363
15,1040.0,0.25,25,100.0,1500.0,75.0,35.0,5.488,1564.369117458862,2249.074543240092
16,1040.0,0.25,25,100.0,1500.0,75.0,40.0,5.488,1622.7311077993318,1877.34080585019
17,1040.0,0.25,25,100.0,1500.0,75.0,45.0,5.488,1683.136468145602,1507.9813747655699
18,1040.0,0.25,25,100.0,1500.0,100.0,5.0,5.488,1000.4375195283392,3837.9231573496336
19,1040.0,0.25,25,100.0,1500.0,100.0,10.0,5.488,1163.2114820866102,3704.6264763593404
20,1040.0,0.25,25,100.0,1500.0,100.0,15.0,5.488,1253.396415380532,3331.1861257020587
21,1040.0,0.25,25,100.0,1500.0,100.0,20.0,5.488,1300.8706294758354,2788.396905758903
22,1040.0,0.25,25,100.0,1500.0,100.0,25.0,5.488,1400.863755015599,2331.4094399480146
23,1040.0,0.25,25,100.0,1500.0,100.0,30.0,5.488,1453.5010956062054,1745.656740968316
24,1040.0,0.25,25,100.0,1500.0,100.0,35.0,5.488,1453.5010956062054,1300.8706294758354
25,1040.0,0.25,25,100.0,1500.0,100.0,40.0,5.488,1507.9813747655699,963.1262446506313
26,1040.0,0.25,25,100.0,1500.0,100.0,45.0,5.488,1507.9813747655699,602.6003828720548
27,1040.0,0.25,25,100.0,1500.0,125.0,5.0,5.488,963.1262446506313,3451.407913135139
28,1040.0,0.25,25,100.0,1500.0,125.0,10.0,5.488,1120.3939502987503,3215.03115606588
29,1040.0,0.25,25,100.0,1500.0,125.0,15.0,5.488,1207.5281412974266,2690.6032074593363
30,1040.0,0.25,25,100.0,1500.0,125.0,20.0,5.488,1253.396415380532,2169.5248407169115
31,1040.0,0.25,25,100.0,1500.0,125.0,25.0,5.488,1350.0070107550434,1400.863755015599
32,1040.0,0.25,25,100.0,1500.0,125.0,30.0,5.488,1400.863755015599,1000.4375195283392
33,1040.0,0.25,25,100.0,1500.0,125.0,35.0,5.488,1453.5010956062054,706.6630446235681
34,1040.0,0.25,25,100.0,1500.0,125.0,40.0,5.488,1507.9813747655699,364.0435815737613
35,1040.0,0.25,25,100.0,1500.0,125.0,45.0,5.488,1507.9813747655699,206.19263805219657
36,1040.0,0.25,25,100.0,1500.0,150.0,5.0,5.488,892.2474549733066,3102.8054334306075
37,1040.0,0.25,25,100.0,1500.0,150.0,10.0,5.488,1039.0551367620653,2596.117637920465
38,1040.0,0.25,25,100.0,1500.0,150.0,15.0,5.488,1163.2114820866102,2169.5248407169115
39,1040.0,0.25,25,100.0,1500.0,150.0,20.0,5.488,1207.5281412974266,1400.863755015599
40,1040.0,0.25,25,100.0,1500.0,150.0,25.0,5.488,1300.8706294758354,1000.4375195283392
41,1040.0,0.25,25,100.0,1500.0,150.0,30.0,5.488,1350.0070107550434,706.6630446235681
42,1040.0,0.25,25,100.0,1500.0,150.0,35.0,5.488,1400.863755015599,380.3797742518218
43,1040.0,0.25,25,100.0,1500.0,150.0,40.0,5.488,1453.5010956062054,185.658218519665
44,1040.0,0.25,25,100.0,1500.0,150.0,45.0,5.488,1453.5010956062054,88.15660757525974
45,1040.0,0.25,25,100.0,1500.0,175.0,5.0,5.488,858.5959932573792,2788.396905758903
46,1040.0,0.25,25,100.0,1500.0,175.0,10.0,5.488,1039.0551367620653,2331.4094399480146
47,1040.0,0.25,25,100.0,1500.0,175.0,15.0,5.488,1120.3939502987503,1745.656740968316
48,1040.0,0.25,25,100.0,1500.0,175.0,20.0,5.488,1207.5281412974266,1079.0248340103788
49,1040.0,0.25,25,100.0,1500.0,175.0,25.0,5.488,1300.8706294758354,764.3189747302553
50,1040.0,0.25,25,100.0,1500.0,175.0,30.0,5.488,1350.0070107550434,471.05135570079625
51,1040.0,0.25,25,100.0,1500.0,175.0,35.0,5.488,1400.863755015599,206.19263805219657
52,1040.0,0.25,25,100.0,1500.0,175.0,40.0,5.488,1400.863755015599,88.15660757525974
53,1040.0,0.25,25,100.0,1500.0,175.0,45.0,5.488,1453.5010956062054,0.1
54,1040.0,0.25,25,100.0,1500.0,200.0,5.0,5.488,858.5959932573792,2596.117637920465
55,1040.0,0.25,25,100.0,1500.0,200.0,10.0,5.488,1000.4375195283392,1946.660560944617
56,1040.0,0.25,25,100.0,1500.0,200.0,15.0,5.488,1120.3939502987503,1253.396415380532
57,1040.0,0.25,25,100.0,1500.0,200.0,20.0,5.488,1207.5281412974266,826.0828806403975
58,1040.0,0.25,25,100.0,1500.0,200.0,25.0,5.488,1300.8706294758354,555.7005092765738
59,1040.0,0.25,25,100.0,1500.0,200.0,30.0,5.488,1350.0070107550434,290.28732266352586
60,1040.0,0.25,25,100.0,1500.0,200.0,35.0,5.488,1400.863755015599,116.29960156154641
