,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad,std_dev_to_perm_res_ratio,vertical_correlation,lateral_correlation,random_seed
0,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,6,306,1998
1,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,578.7469943073653,1,7,250,8727
2,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,794.669609473511,1,2,184,10502
3,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,679.2894631401067,1,4,290,3383
4,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,794.669609473511,1,5,92,7019
5,1020,1,25,100,1500,100,500,2.744,4118.680869937337,892.2474549733066,1,5,270,956
6,1020,1,25,100,1500,100,500,2.744,4266.474423355583,652.8418649639875,1,5,308,6415
7,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,734.9950299419285,1,6,400,6706
8,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,892.2474549733066,1,5,57,8583
9,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,927.0771216668321,1,7,119,7528
10,1020,1,25,100,1500,100,500,2.744,3102.8054334306075,1564.369117458862,1,4,310,10709
11,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,7,150,826
12,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,602.6003828720548,1,2,112,4734
13,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,858.5959932573792,1,10,45,8861
14,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,4,33,139
15,1020,1,25,100,1500,100,500,2.744,3975.886821734759,927.0771216668321,1,7,40,9104
16,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,7,52,5459
17,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,679.2894631401067,1,6,234,1671
18,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,794.669609473511,1,5,156,11926
19,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,794.669609473511,1,5,144,414
20,1020,1,25,100,1500,100,500,2.744,3975.886821734759,794.669609473511,1,2,450,8731
21,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,602.6003828720548,1,8,272,9424
22,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,706.6630446235681,1,2,96,5757
23,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,9,82,11782
24,1020,1,25,100,1500,100,500,2.744,3451.407913135139,794.669609473511,1,8,21,8773
25,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,3,288,6019
26,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,927.0771216668321,1,8,240,723
27,1020,1,25,100,1500,100,500,2.744,3975.886821734759,892.2474549733066,1,7,96,2674
28,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,706.6630446235681,1,4,72,10469
29,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,10,104,8484
30,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,794.669609473511,1,7,144,9266
31,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,734.9950299419285,1,8,141,4325
32,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,858.5959932573792,1,6,100,1039
33,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,5,36,9958
34,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,5,184,1645
35,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,1120.3939502987503,1,3,176,9527
36,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,927.0771216668321,1,6,390,3927
37,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,555.7005092765738,1,5,336,7627
38,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,3,152,8282
39,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1039.0551367620653,1,5,74,6980
40,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,10,164,2141
41,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,794.669609473511,1,5,24,6649
42,1020,1,25,100,1500,100,500,2.744,3451.407913135139,764.3189747302553,1,8,180,12341
43,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,5,336,12110
44,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,9,195,3587
45,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,8,45,10118
46,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,602.6003828720548,1,9,100,2537
47,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,1253.396415380532,1,9,80,159
48,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,8,147,997
49,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,7,240,5679
50,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1039.0551367620653,1,9,189,4419
51,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,679.2894631401067,1,5,280,5532
52,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,4,96,8507
53,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,927.0771216668321,1,10,98,2502
54,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,3,234,1762
55,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,734.9950299419285,1,3,14,1489
56,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,5,220,4617
57,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,826.0828806403975,1,10,160,3264
58,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,652.8418649639875,1,8,294,4787
59,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,3,36,4141
60,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,794.669609473511,1,6,420,9320
61,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,652.8418649639875,1,3,294,10875
62,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,826.0828806403975,1,5,170,439
63,1020,1,25,100,1500,100,500,2.744,3451.407913135139,1079.0248340103788,1,6,320,6660
64,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,1120.3939502987503,1,6,18,1857
65,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,2,100,7206
66,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,555.7005092765738,1,7,329,3146
67,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,3,315,8572
68,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,9,336,11425
69,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,627.2889262771712,1,5,294,1454
70,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,764.3189747302553,1,10,15,2629
71,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,4,34,10224
72,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,6,45,1282
73,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,6,160,1644
74,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,764.3189747302553,1,3,102,10072
75,1020,1,25,100,1500,100,500,2.744,3975.886821734759,892.2474549733066,1,3,405,869
76,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,10,60,7532
77,1020,1,25,100,1500,100,500,2.744,3975.886821734759,963.1262446506313,1,2,329,8056
78,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,6,352,5614
79,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,734.9950299419285,1,4,116,1700
80,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,794.669609473511,1,3,132,2179
81,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,6,190,7481
82,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,794.669609473511,1,2,96,1749
83,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,652.8418649639875,1,10,228,11124
84,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,858.5959932573792,1,9,288,6728
85,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,794.669609473511,1,9,104,6532
86,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,9,24,3576
87,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,7,420,4621
88,1020,1,25,100,1500,100,500,2.744,3102.8054334306075,1400.863755015599,1,3,322,4178
89,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,10,294,2901
90,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,9,70,6528
91,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,6,192,8453
92,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,826.0828806403975,1,6,112,7245
93,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,4,75,7307
94,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,3,180,1230
95,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,1810.3659735830986,1,9,57,10863
96,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,764.3189747302553,1,5,360,8475
97,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,1163.2114820866102,1,7,105,6987
98,1020,1,25,100,1500,100,500,2.744,2889.614557023334,1350.0070107550434,1,3,60,10581
99,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,1207.5281412974266,1,5,294,3283
100,1020,1,25,100,1500,100,500,2.744,3451.407913135139,1039.0551367620653,1,8,108,10112
101,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,602.6003828720548,1,6,470,6986
102,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,4,42,4809
103,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,5,108,2116
104,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,3,63,8229
105,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,826.0828806403975,1,6,186,11045
106,1020,1,25,100,1500,100,500,2.744,3575.8389057898266,679.2894631401067,1,8,99,1560
107,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,826.0828806403975,1,3,104,12197
108,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,4,72,2912
109,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,706.6630446235681,1,9,184,3630
110,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,2,56,8332
111,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,652.8418649639875,1,2,196,1383
112,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,4,66,4238
113,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,1163.2114820866102,1,6,36,8415
114,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,8,160,11436
115,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,652.8418649639875,1,8,51,2780
116,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,3,42,9189
117,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,1253.396415380532,1,4,380,5484
118,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,10,80,2615
119,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,8,207,11414
120,1020,1,25,100,1500,100,500,2.744,4118.680869937337,652.8418649639875,1,5,252,10642
121,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,764.3189747302553,1,2,60,957
122,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,764.3189747302553,1,6,180,8351
123,1020,1,25,100,1500,100,500,2.744,1683.136468145602,1350.0070107550434,1,6,100,10255
124,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,627.2889262771712,1,9,342,2993
125,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,892.2474549733066,1,6,117,4834
126,1020,1,25,100,1500,100,500,2.744,3331.1861257020587,1400.863755015599,1,8,85,11264
127,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,1000.4375195283392,1,8,180,5838
128,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,679.2894631401067,1,3,120,11053
129,1020,1,25,100,1500,100,500,2.744,3975.886821734759,764.3189747302553,1,7,225,7936
130,1020,1,25,100,1500,100,500,2.744,3704.6264763593404,734.9950299419285,1,5,144,9546
131,1020,1,25,100,1500,100,500,2.744,3215.03115606588,858.5959932573792,1,2,102,1685
132,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,652.8418649639875,1,2,144,8283
133,1020,1,25,100,1500,100,500,2.744,3837.9231573496336,764.3189747302553,1,7,430,8932
