,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
0,1040.0,0.25,25,100.0,800.0,50.0,5.0,2.744,1300.8706294758354,6061.102884923689
1,1040.0,0.25,25,100.0,800.0,50.0,10.0,2.744,1564.369117458862,6970.710712835172
2,1040.0,0.25,25,100.0,800.0,50.0,15.0,2.744,1745.656740968316,7474.679037956332
3,1040.0,0.25,25,100.0,800.0,50.0,20.0,2.744,1877.34080585019,7474.679037956332
4,1040.0,0.25,25,100.0,800.0,50.0,25.0,2.744,1946.660560944617,8014.555025680014
5,1040.0,0.25,25,100.0,800.0,50.0,30.0,2.744,2018.40733930441,8014.555025680014
6,1040.0,0.25,25,100.0,800.0,50.0,35.0,2.744,2092.6661158681363,8014.555025680014
7,1040.0,0.25,25,100.0,800.0,50.0,40.0,2.744,2092.6661158681363,8014.555025680014
8,1040.0,0.25,25,100.0,800.0,50.0,45.0,2.744,2169.5248407169115,8014.555025680014
9,1040.0,0.25,25,100.0,800.0,75.0,5.0,2.744,1207.5281412974266,5268.468973509327
10,1040.0,0.25,25,100.0,800.0,75.0,10.0,2.744,1400.863755015599,6061.102884923689
11,1040.0,0.25,25,100.0,800.0,75.0,15.0,2.744,1564.369117458862,6500.2617977124255
12,1040.0,0.25,25,100.0,800.0,75.0,20.0,2.744,1683.136468145602,6500.2617977124255
13,1040.0,0.25,25,100.0,800.0,75.0,25.0,2.744,1745.656740968316,6500.2617977124255
14,1040.0,0.25,25,100.0,800.0,75.0,30.0,2.744,1810.3659735830986,6500.2617977124255
15,1040.0,0.25,25,100.0,800.0,75.0,35.0,2.744,1877.34080585019,6061.102884923689
16,1040.0,0.25,25,100.0,800.0,75.0,40.0,2.744,1946.660560944617,6061.102884923689
17,1040.0,0.25,25,100.0,800.0,75.0,45.0,2.744,1946.660560944617,5651.152846817076
18,1040.0,0.25,25,100.0,800.0,100.0,5.0,2.744,1120.3939502987503,4911.237766589093
19,1040.0,0.25,25,100.0,800.0,100.0,10.0,2.744,1350.0070107550434,5268.468973509327
20,1040.0,0.25,25,100.0,800.0,100.0,15.0,2.744,1507.9813747655699,5651.152846817076
21,1040.0,0.25,25,100.0,800.0,100.0,20.0,2.744,1622.7311077993318,5651.152846817076
22,1040.0,0.25,25,100.0,800.0,100.0,25.0,2.744,1745.656740968316,5651.152846817076
23,1040.0,0.25,25,100.0,800.0,100.0,30.0,2.744,1810.3659735830986,5268.468973509327
24,1040.0,0.25,25,100.0,800.0,100.0,35.0,2.744,1877.34080585019,5086.78032207291
25,1040.0,0.25,25,100.0,800.0,100.0,40.0,2.744,1877.34080585019,4911.237766589093
26,1040.0,0.25,25,100.0,800.0,100.0,45.0,2.744,1877.34080585019,4741.633399215751
27,1040.0,0.25,25,100.0,800.0,125.0,5.0,2.744,1039.0551367620653,4577.766345139718
28,1040.0,0.25,25,100.0,800.0,125.0,10.0,2.744,1253.396415380532,4911.237766589093
29,1040.0,0.25,25,100.0,800.0,125.0,15.0,2.744,1400.863755015599,4911.237766589093
30,1040.0,0.25,25,100.0,800.0,125.0,20.0,2.744,1564.369117458862,4911.237766589093
31,1040.0,0.25,25,100.0,800.0,125.0,25.0,2.744,1683.136468145602,4577.766345139718
32,1040.0,0.25,25,100.0,800.0,125.0,30.0,2.744,1745.656740968316,4577.766345139718
33,1040.0,0.25,25,100.0,800.0,125.0,35.0,2.744,1810.3659735830986,4419.4425246661085
34,1040.0,0.25,25,100.0,800.0,125.0,40.0,2.744,1810.3659735830986,4266.474423355583
35,1040.0,0.25,25,100.0,800.0,125.0,45.0,2.744,1810.3659735830986,3975.886821734759
36,1040.0,0.25,25,100.0,800.0,150.0,5.0,2.744,1000.4375195283392,4266.474423355583
37,1040.0,0.25,25,100.0,800.0,150.0,10.0,2.744,1207.5281412974266,4577.766345139718
38,1040.0,0.25,25,100.0,800.0,150.0,15.0,2.744,1400.863755015599,4577.766345139718
39,1040.0,0.25,25,100.0,800.0,150.0,20.0,2.744,1507.9813747655699,4266.474423355583
40,1040.0,0.25,25,100.0,800.0,150.0,25.0,2.744,1622.7311077993318,4118.680869937337
41,1040.0,0.25,25,100.0,800.0,150.0,30.0,2.744,1683.136468145602,3975.886821734759
42,1040.0,0.25,25,100.0,800.0,150.0,35.0,2.744,1745.656740968316,3704.6264763593404
43,1040.0,0.25,25,100.0,800.0,150.0,40.0,2.744,1745.656740968316,3575.8389057898266
44,1040.0,0.25,25,100.0,800.0,150.0,45.0,2.744,1810.3659735830986,3331.1861257020587
45,1040.0,0.25,25,100.0,800.0,175.0,5.0,2.744,963.1262446506313,3975.886821734759
46,1040.0,0.25,25,100.0,800.0,175.0,10.0,2.744,1207.5281412974266,4266.474423355583
47,1040.0,0.25,25,100.0,800.0,175.0,15.0,2.744,1400.863755015599,4118.680869937337
48,1040.0,0.25,25,100.0,800.0,175.0,20.0,2.744,1507.9813747655699,3837.9231573496336
49,1040.0,0.25,25,100.0,800.0,175.0,25.0,2.744,1622.7311077993318,3704.6264763593404
50,1040.0,0.25,25,100.0,800.0,175.0,30.0,2.744,1683.136468145602,3575.8389057898266
51,1040.0,0.25,25,100.0,800.0,175.0,35.0,2.744,1745.656740968316,3331.1861257020587
52,1040.0,0.25,25,100.0,800.0,175.0,40.0,2.744,1745.656740968316,3102.8054334306075
53,1040.0,0.25,25,100.0,800.0,175.0,45.0,2.744,1810.3659735830986,2889.614557023334
54,1040.0,0.25,25,100.0,800.0,200.0,5.0,2.744,927.0771216668321,3975.886821734759
55,1040.0,0.25,25,100.0,800.0,200.0,10.0,2.744,1163.2114820866102,3975.886821734759
56,1040.0,0.25,25,100.0,800.0,200.0,15.0,2.744,1350.0070107550434,3704.6264763593404
57,1040.0,0.25,25,100.0,800.0,200.0,20.0,2.744,1507.9813747655699,3575.8389057898266
58,1040.0,0.25,25,100.0,800.0,200.0,25.0,2.744,1564.369117458862,3331.1861257020587
59,1040.0,0.25,25,100.0,800.0,200.0,30.0,2.744,1622.7311077993318,3102.8054334306075
60,1040.0,0.25,25,100.0,800.0,200.0,35.0,2.744,1683.136468145602,2889.614557023334
61,1040.0,0.25,25,100.0,800.0,200.0,40.0,2.744,1745.656740968316,2690.6032074593363
62,1040.0,0.25,25,100.0,800.0,200.0,45.0,2.744,1745.656740968316,2416.6270460594747
63,1040.0,0.25,25,100.0,900.0,50.0,5.0,3.136,1300.8706294758354,5651.152846817076
64,1040.0,0.25,25,100.0,900.0,50.0,10.0,3.136,1507.9813747655699,6276.904517930638
65,1040.0,0.25,25,100.0,900.0,50.0,15.0,3.136,1683.136468145602,6731.439262573933
66,1040.0,0.25,25,100.0,900.0,50.0,20.0,3.136,1745.656740968316,6970.710712835172
67,1040.0,0.25,25,100.0,900.0,50.0,25.0,3.136,1877.34080585019,6970.710712835172
68,1040.0,0.25,25,100.0,900.0,50.0,30.0,3.136,1946.660560944617,6970.710712835172
69,1040.0,0.25,25,100.0,900.0,50.0,35.0,3.136,1946.660560944617,6970.710712835172
70,1040.0,0.25,25,100.0,900.0,50.0,40.0,3.136,2018.40733930441,6731.439262573933
71,1040.0,0.25,25,100.0,900.0,50.0,45.0,3.136,2018.40733930441,6731.439262573933
72,1040.0,0.25,25,100.0,900.0,75.0,5.0,3.136,1163.2114820866102,4911.237766589093
73,1040.0,0.25,25,100.0,900.0,75.0,10.0,3.136,1350.0070107550434,5456.518908009836
74,1040.0,0.25,25,100.0,900.0,75.0,15.0,3.136,1453.5010956062054,5456.518908009836
75,1040.0,0.25,25,100.0,900.0,75.0,20.0,3.136,1564.369117458862,5651.152846817076
76,1040.0,0.25,25,100.0,900.0,75.0,25.0,3.136,1683.136468145602,5651.152846817076
77,1040.0,0.25,25,100.0,900.0,75.0,30.0,3.136,1745.656740968316,5456.518908009836
78,1040.0,0.25,25,100.0,900.0,75.0,35.0,3.136,1810.3659735830986,5268.468973509327
79,1040.0,0.25,25,100.0,900.0,75.0,40.0,3.136,1810.3659735830986,5268.468973509327
80,1040.0,0.25,25,100.0,900.0,75.0,45.0,3.136,1877.34080585019,4911.237766589093
81,1040.0,0.25,25,100.0,900.0,100.0,5.0,3.136,1079.0248340103788,4419.4425246661085
82,1040.0,0.25,25,100.0,900.0,100.0,10.0,3.136,1253.396415380532,4741.633399215751
83,1040.0,0.25,25,100.0,900.0,100.0,15.0,3.136,1400.863755015599,4741.633399215751
84,1040.0,0.25,25,100.0,900.0,100.0,20.0,3.136,1453.5010956062054,4741.633399215751
85,1040.0,0.25,25,100.0,900.0,100.0,25.0,3.136,1564.369117458862,4577.766345139718
86,1040.0,0.25,25,100.0,900.0,100.0,30.0,3.136,1622.7311077993318,4577.766345139718
87,1040.0,0.25,25,100.0,900.0,100.0,35.0,3.136,1683.136468145602,4419.4425246661085
88,1040.0,0.25,25,100.0,900.0,100.0,40.0,3.136,1745.656740968316,4266.474423355583
89,1040.0,0.25,25,100.0,900.0,100.0,45.0,3.136,1745.656740968316,3975.886821734759
90,1040.0,0.25,25,100.0,900.0,125.0,5.0,3.136,1039.0551367620653,4118.680869937337
91,1040.0,0.25,25,100.0,900.0,125.0,10.0,3.136,1207.5281412974266,4419.4425246661085
92,1040.0,0.25,25,100.0,900.0,125.0,15.0,3.136,1350.0070107550434,4266.474423355583
93,1040.0,0.25,25,100.0,900.0,125.0,20.0,3.136,1453.5010956062054,4266.474423355583
94,1040.0,0.25,25,100.0,900.0,125.0,25.0,3.136,1507.9813747655699,4118.680869937337
95,1040.0,0.25,25,100.0,900.0,125.0,30.0,3.136,1622.7311077993318,3837.9231573496336
96,1040.0,0.25,25,100.0,900.0,125.0,35.0,3.136,1683.136468145602,3704.6264763593404
97,1040.0,0.25,25,100.0,900.0,125.0,40.0,3.136,1683.136468145602,3451.407913135139
98,1040.0,0.25,25,100.0,900.0,125.0,45.0,3.136,1745.656740968316,3331.1861257020587
99,1040.0,0.25,25,100.0,900.0,150.0,5.0,3.136,963.1262446506313,3837.9231573496336
100,1040.0,0.25,25,100.0,900.0,150.0,10.0,3.136,1163.2114820866102,3975.886821734759
101,1040.0,0.25,25,100.0,900.0,150.0,15.0,3.136,1300.8706294758354,3837.9231573496336
102,1040.0,0.25,25,100.0,900.0,150.0,20.0,3.136,1400.863755015599,3704.6264763593404
103,1040.0,0.25,25,100.0,900.0,150.0,25.0,3.136,1453.5010956062054,3575.8389057898266
104,1040.0,0.25,25,100.0,900.0,150.0,30.0,3.136,1564.369117458862,3331.1861257020587
105,1040.0,0.25,25,100.0,900.0,150.0,35.0,3.136,1622.7311077993318,3215.03115606588
106,1040.0,0.25,25,100.0,900.0,150.0,40.0,3.136,1622.7311077993318,2994.376040693835
107,1040.0,0.25,25,100.0,900.0,150.0,45.0,3.136,1683.136468145602,2788.396905758903
108,1040.0,0.25,25,100.0,900.0,175.0,5.0,3.136,927.0771216668321,3575.8389057898266
109,1040.0,0.25,25,100.0,900.0,175.0,10.0,3.136,1120.3939502987503,3704.6264763593404
110,1040.0,0.25,25,100.0,900.0,175.0,15.0,3.136,1253.396415380532,3575.8389057898266
111,1040.0,0.25,25,100.0,900.0,175.0,20.0,3.136,1350.0070107550434,3331.1861257020587
112,1040.0,0.25,25,100.0,900.0,175.0,25.0,3.136,1453.5010956062054,3102.8054334306075
113,1040.0,0.25,25,100.0,900.0,175.0,30.0,3.136,1507.9813747655699,2889.614557023334
114,1040.0,0.25,25,100.0,900.0,175.0,35.0,3.136,1564.369117458862,2690.6032074593363
115,1040.0,0.25,25,100.0,900.0,175.0,40.0,3.136,1622.7311077993318,2504.828290996109
116,1040.0,0.25,25,100.0,900.0,175.0,45.0,3.136,1622.7311077993318,2249.074543240092
117,1040.0,0.25,25,100.0,900.0,200.0,5.0,3.136,892.2474549733066,3451.407913135139
118,1040.0,0.25,25,100.0,900.0,200.0,10.0,3.136,1120.3939502987503,3451.407913135139
119,1040.0,0.25,25,100.0,900.0,200.0,15.0,3.136,1253.396415380532,3215.03115606588
120,1040.0,0.25,25,100.0,900.0,200.0,20.0,3.136,1350.0070107550434,2994.376040693835
121,1040.0,0.25,25,100.0,900.0,200.0,25.0,3.136,1453.5010956062054,2788.396905758903
122,1040.0,0.25,25,100.0,900.0,200.0,30.0,3.136,1507.9813747655699,2596.117637920465
123,1040.0,0.25,25,100.0,900.0,200.0,35.0,3.136,1564.369117458862,2331.4094399480146
124,1040.0,0.25,25,100.0,900.0,200.0,40.0,3.136,1622.7311077993318,2018.40733930441
125,1040.0,0.25,25,100.0,900.0,200.0,45.0,3.136,1622.7311077993318,1683.136468145602
126,1040.0,0.25,25,100.0,1000.0,50.0,5.0,3.5280000000000005,1253.396415380532,5456.518908009836
127,1040.0,0.25,25,100.0,1000.0,50.0,10.0,3.5280000000000005,1453.5010956062054,6061.102884923689
128,1040.0,0.25,25,100.0,1000.0,50.0,15.0,3.5280000000000005,1622.7311077993318,6276.904517930638
129,1040.0,0.25,25,100.0,1000.0,50.0,20.0,3.5280000000000005,1683.136468145602,6500.2617977124255
130,1040.0,0.25,25,100.0,1000.0,50.0,25.0,3.5280000000000005,1745.656740968316,6500.2617977124255
